b_0,b_1,b_2,b_3,theta_00,theta_01,theta_02,theta_03,theta_10,theta_11,theta_12,theta_13,theta_20,theta_21,theta_22,theta_23,theta_30,theta_31,theta_32,theta_33,sigma_sqrd_00,sigma_sqrd_01,sigma_sqrd_02,sigma_sqrd_03,sigma_sqrd_10,sigma_sqrd_11,sigma_sqrd_12,sigma_sqrd_13,sigma_sqrd_20,sigma_sqrd_21,sigma_sqrd_22,sigma_sqrd_23,sigma_sqrd_30,sigma_sqrd_31,sigma_sqrd_32,sigma_sqrd_33
-0.0385555892892,0.9788361697259673,2.1273708340093753,2.9549490940661354,0.41889748541392485,0.20657602217801085,0.18991583181515959,0.18305641987505994,0.20657602217801085,0.5320371151993317,0.31145185871229053,0.3154364146601948,0.18991583181515959,0.31145185871229053,0.6070679817494448,0.40674816999351976,0.18305641987505994,0.3154364146601948,0.40674816999351976,0.7087014311818247,1.0152067266510971,0.0,-0.0,0.0,0.0,0.06443844605866889,0.0,0.0,-0.0,0.0,0.9892631023232494,-0.0,0.0,0.0,-0.0,0.2285546816989792
-0.03315129058133617,1.0013384958686218,2.0545154240183114,2.9904352545125774,0.4004913973810251,0.19904118105577667,0.18601466843838757,0.1977073592093351,0.19904118105577667,0.5080996090793692,0.30134390867588506,0.3016834697758255,0.18601466843838757,0.30134390867588506,0.5997103187445261,0.3818613601235016,0.1977073592093351,0.3016834697758255,0.3818613601235016,0.657648675956076,1.0163597373611584,0.0,0.0,0.0,0.0,0.06457120080949576,0.0,0.0,0.0,0.0,0.9912327034212872,-0.0,0.0,0.0,-0.0,0.22914672759179686
0.03356915107995169,1.0830341592797896,1.8857794767979312,2.975395939659342,0.4001133216571962,0.20446944931332334,0.20298435833814002,0.21416704678294582,0.20446944931332334,0.5221045432384225,0.30813649016767913,0.3133391067763921,0.20298435833814002,0.30813649016767913,0.5876087346828102,0.3839711657817113,0.21416704678294582,0.3133391067763921,0.3839711657817113,0.6832488389618635,1.0140502014334971,0.0,0.0,0.0,0.0,0.06474497709463244,0.0,0.0,0.0,0.0,0.9937389598490871,-0.0,0.0,0.0,-0.0,0.22742379969016288
-0.07005555367506168,0.8982617287751191,1.9039025753831627,3.3193589109253954,0.41661270546180384,0.19847443733717696,0.20675479611944536,0.19777075492550816,0.19847443733717696,0.5059994211295206,0.3055480368674409,0.3112502022662081,0.20675479611944536,0.3055480368674409,0.5905172428875872,0.4003244199113034,0.19777075492550816,0.3112502022662081,0.4003244199113034,0.665904031238832,1.0078714259565826,0.0,0.0,0.0,0.0,0.06505535089495955,0.0,0.0,0.0,0.0,0.98864811841841,-0.0,0.0,0.0,-0.0,0.22676958673370498
-0.008689520302358622,0.9926421820453081,2.172348275499076,2.852180781681376,0.38987724133315205,0.20097661065846964,0.19166228197086244,0.19752173712088233,0.20097661065846964,0.5262464881579255,0.31087270673170353,0.3074074247502879,0.19166228197086244,0.31087270673170353,0.6103096829854396,0.4329604788603827,0.19752173712088233,0.3074074247502879,0.4329604788603827,0.7239449778312183,1.0096239201157917,0.0,0.0,0.0,0.0,0.06434224960742377,0.0,0.0,0.0,0.0,0.9907647724732739,-0.0,0.0,0.0,-0.0,0.22682560221023304
-0.00447347297200638,0.9936981735812885,2.127975457345089,2.9119205186920607,0.4030626424652951,0.20892609799195955,0.21489302635518606,0.19650736536460206,0.20892609799195955,0.5295328208804104,0.3117620031739135,0.3074779949608685,0.21489302635518606,0.3117620031739135,0.6173438732045202,0.4031630695903904,0.19650736536460206,0.3074779949608685,0.4031630695903904,0.6789458167350187,1.010135222412491,0.0,0.0,0.0,0.0,0.06480194533041295,0.0,0.0,0.0,0.0,0.9884473639368685,-0.0,0.0,0.0,-0.0,0.2284053795466075
-0.018757222718429716,1.0007922916315939,1.8199324849712293,3.1690677866902606,0.36299478258643947,0.19793498711872248,0.1868772499753974,0.2087930760509667,0.19793498711872248,0.5116618062104576,0.3057910704763632,0.3101154367063548,0.1868772499753974,0.3057910704763632,0.6204367754768845,0.4131184318850953,0.2087930760509667,0.3101154367063548,0.4131184318850953,0.7543499422740416,1.0114126589886232,0.0,0.0,0.0,0.0,0.06496419043414009,0.0,0.0,0.0,0.0,0.9926176257209309,-0.0,0.0,0.0,-0.0,0.228427695970718
0.022782579769429098,0.9837747962744764,2.1780722372575916,2.825315379053783,0.4019709109100079,0.19726213917588198,0.2083480060327484,0.2011382898283418,0.19726213917588198,0.4788949750357572,0.2856609646807976,0.2831221346568221,0.2083480060327484,0.2856609646807976,0.6099082256130056,0.40156806612540497,0.2011382898283418,0.2831221346568221,0.40156806612540497,0.6798377280673107,1.0138378159024646,0.0,0.0,0.0,0.0,0.06530490778307246,0.0,0.0,0.0,0.0,0.9906160798797132,0.0,0.0,0.0,0.0,0.2321236930247179
0.05164026186666302,1.1045944796272187,1.9222305171375413,2.881954158716325,0.3817412271854591,0.21157139755694704,0.201916141567549,0.19752606212055748,0.21157139755694704,0.5326536569292023,0.3110888655790694,0.3130177336175234,0.201916141567549,0.3110888655790694,0.6027002206743622,0.39127604003045147,0.19752606212055748,0.3130177336175234,0.39127604003045147,0.674696761739326,1.011342698804401,0.0,0.0,0.0,0.0,0.06457781422248497,0.0,0.0,0.0,0.0,0.9876887149046166,-0.0,0.0,0.0,-0.0,0.2285425699868661
0.0074860586347303346,1.026699211080923,2.179718562398966,2.7538153348779417,0.3955111219140642,0.20337133785782474,0.2017693722173263,0.2118903983650356,0.20337133785782474,0.5099284862813644,0.3033690063931904,0.3008290580994952,0.2017693722173263,0.3033690063931904,0.5581159689709414,0.3878935802492697,0.2118903983650356,0.3008290580994952,0.3878935802492697,0.7057549218052697,1.007950766781665,0.0,0.0,0.0,0.0,0.0654550355334462,0.0,0.0,0.0,0.0,0.9919571410299579,-0.0,0.0,0.0,-0.0,0.22871920617935654
0.015891394359834547,1.0106916122561258,2.059231752580688,2.8931873906176087,0.3910765134484754,0.20135131520180158,0.18255599258516272,0.19378140607995625,0.20135131520180158,0.5136188766736077,0.3055561763451538,0.3116071769960417,0.18255599258516272,0.3055561763451538,0.5833773845231379,0.4044318694735477,0.19378140607995625,0.3116071769960417,0.4044318694735477,0.7158637353846862,1.00556254837286,0.0,0.0,0.0,0.0,0.06475181305701762,-0.0,0.0,0.0,-0.0,0.9931002996672302,-0.0,0.0,0.0,-0.0,0.22845128828811428
